GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC02,Total; Estimate; Population 18 to 24 years
HC01_MOE_VC02,Total; Margin of Error; Population 18 to 24 years
HC02_EST_VC02,Percent; Estimate; Population 18 to 24 years
HC02_MOE_VC02,Percent; Margin of Error; Population 18 to 24 years
HC03_EST_VC02,Males; Estimate; Population 18 to 24 years
HC03_MOE_VC02,Males; Margin of Error; Population 18 to 24 years
HC04_EST_VC02,Percent Males; Estimate; Population 18 to 24 years
HC04_MOE_VC02,Percent Males; Margin of Error; Population 18 to 24 years
HC05_EST_VC02,Females; Estimate; Population 18 to 24 years
HC05_MOE_VC02,Females; Margin of Error; Population 18 to 24 years
HC06_EST_VC02,Percent Females; Estimate; Population 18 to 24 years
HC06_MOE_VC02,Percent Females; Margin of Error; Population 18 to 24 years
HC01_EST_VC03,Total; Estimate; Population 18 to 24 years - Less than high school graduate
HC01_MOE_VC03,Total; Margin of Error; Population 18 to 24 years - Less than high school graduate
HC02_EST_VC03,Percent; Estimate; Population 18 to 24 years - Less than high school graduate
HC02_MOE_VC03,Percent; Margin of Error; Population 18 to 24 years - Less than high school graduate
HC03_EST_VC03,Males; Estimate; Population 18 to 24 years - Less than high school graduate
HC03_MOE_VC03,Males; Margin of Error; Population 18 to 24 years - Less than high school graduate
HC04_EST_VC03,Percent Males; Estimate; Population 18 to 24 years - Less than high school graduate
HC04_MOE_VC03,Percent Males; Margin of Error; Population 18 to 24 years - Less than high school graduate
HC05_EST_VC03,Females; Estimate; Population 18 to 24 years - Less than high school graduate
HC05_MOE_VC03,Females; Margin of Error; Population 18 to 24 years - Less than high school graduate
HC06_EST_VC03,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate
HC06_MOE_VC03,Percent Females; Margin of Error; Population 18 to 24 years - Less than high school graduate
HC01_EST_VC04,Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
HC01_MOE_VC04,Total; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency)
HC02_EST_VC04,Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
HC02_MOE_VC04,Percent; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency)
HC03_EST_VC04,Males; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
