Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Alabama,Both,All Ages,2015,2016,Suicide Injury,1538,9717175,15.83,15.24500218
Both Sexes,All Races,Alaska,Both,All Ages,2015,2016,Suicide Injury,394,1479603,26.63,26.15454427
Both Sexes,All Races,Arizona,Both,All Ages,2015,2016,Suicide Injury,2547,13748636,18.53,17.91304798
Both Sexes,All Races,Arkansas,Both,All Ages,2015,2016,Suicide Injury,1132,5966101,18.97,18.66148532
Both Sexes,All Races,California,Both,All Ages,2015,2016,Suicide Injury,8461,78243957,10.81,10.37529172
Both Sexes,All Races,Colorado,Both,All Ages,2015,2016,Suicide Injury,2261,10989364,20.57,19.99049298
Both Sexes,All Races,Connecticut,Both,All Ages,2015,2016,Suicide Injury,781,7161182,10.91,9.937999762
Both Sexes,All Races,Delaware,Both,All Ages,2015,2016,Suicide Injury,241,1896141,12.71,12.00950594
Both Sexes,All Races,Florida,Both,All Ages,2015,2016,Suicide Injury,6348,40857353,15.54,14.16283168
Both Sexes,All Races,Georgia,Both,All Ages,2015,2016,Suicide Injury,2726,20509769,13.29,12.97559897
Both Sexes,All Races,Hawaii,Both,All Ages,2015,2016,Suicide Injury,375,2853714,13.14,12.78594029
Both Sexes,All Races,Idaho,Both,All Ages,2015,2016,Suicide Injury,710,3335968,21.28,21.77868856
Both Sexes,All Races,Illinois,Both,All Ages,2015,2016,Suicide Injury,2778,25640586,10.83,10.50741927
Both Sexes,All Races,Indiana,Both,All Ages,2015,2016,Suicide Injury,1994,13245821,15.05,14.8880579
Both Sexes,All Races,Iowa,Both,All Ages,2015,2016,Suicide Injury,884,6256690,14.13,14.25014711
Both Sexes,All Races,Kansas,Both,All Ages,2015,2016,Suicide Injury,991,5814010,17.05,17.08328597
Both Sexes,All Races,Kentucky,Both,All Ages,2015,2016,Suicide Injury,1532,8861585,17.29,16.92270046
Both Sexes,All Races,Louisiana,Both,All Ages,2015,2016,Suicide Injury,1399,9350626,14.96,14.69475112
Both Sexes,All Races,Maine,Both,All Ages,2015,2016,Suicide Injury,461,2660932,17.32,15.94598239
Both Sexes,All Races,Maryland,Both,All Ages,2015,2016,Suicide Injury,1139,12011430,9.48,9.064063443
Both Sexes,All Races,Massachusetts,Both,All Ages,2015,2016,Suicide Injury,1273,13596019,9.36,8.802437587
Both Sexes,All Races,Michigan,Both,All Ages,2015,2016,Suicide Injury,2774,19846015,13.98,13.51031266
Both Sexes,All Races,Minnesota,Both,All Ages,2015,2016,Suicide Injury,1475,11002387,13.41,13.20454123
Both Sexes,All Races,Mississippi,Both,All Ages,2015,2016,Suicide Injury,814,5978116,13.62,13.32287818
Both Sexes,All Races,Missouri,Both,All Ages,2015,2016,Suicide Injury,2185,12169204,17.96,17.63534024
Both Sexes,All Races,Montana,Both,All Ages,2015,2016,Suicide Injury,539,2074593,25.98,25.6300474
Both Sexes,All Races,Nebraska,Both,All Ages,2015,2016,Suicide Injury,469,3800881,12.34,12.33791285
Both Sexes,All Races,Nevada,Both,All Ages,2015,2016,Suicide Injury,1208,5823816,20.74,19.94770376
