Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Alabama,Both,All Ages,2015,2016,Suicide Firearm,1078,9717175,11.09,10.52266253
Both Sexes,All Races,Alaska,Both,All Ages,2015,2016,Suicide Firearm,236,1479603,15.95,15.49256044
Both Sexes,All Races,Arizona,Both,All Ages,2015,2016,Suicide Firearm,1462,13748636,10.63,9.997657519
Both Sexes,All Races,Arkansas,Both,All Ages,2015,2016,Suicide Firearm,673,5966101,11.28,10.58577914
Both Sexes,All Races,California,Both,All Ages,2015,2016,Suicide Firearm,3154,78243957,4.03,3.830355623
Both Sexes,All Races,Colorado,Both,All Ages,2015,2016,Suicide Firearm,1154,10989364,10.5,10.21155676
Both Sexes,All Races,Connecticut,Both,All Ages,2015,2016,Suicide Firearm,214,7161182,2.99,2.731203767
Both Sexes,All Races,Delaware,Both,All Ages,2015,2016,Suicide Firearm,120,1896141,6.33,5.699407008
Both Sexes,All Races,Florida,Both,All Ages,2015,2016,Suicide Firearm,3302,40857353,8.08,7.071540134
Both Sexes,All Races,Georgia,Both,All Ages,2015,2016,Suicide Firearm,1694,20509769,8.26,8.016665387
Both Sexes,All Races,Hawaii,Both,All Ages,2015,2016,Suicide Firearm,81,2853714,2.84,2.600542531
Both Sexes,All Races,Idaho,Both,All Ages,2015,2016,Suicide Firearm,430,3335968,12.89,12.86068576
Both Sexes,All Races,Illinois,Both,All Ages,2015,2016,Suicide Firearm,1001,25640586,3.9,3.706871637
Both Sexes,All Races,Indiana,Both,All Ages,2015,2016,Suicide Firearm,1108,13245821,8.36,8.051921032
Both Sexes,All Races,Iowa,Both,All Ages,2015,2016,Suicide Firearm,421,6256690,6.73,6.528943546
Both Sexes,All Races,Kansas,Both,All Ages,2015,2016,Suicide Firearm,481,5814010,8.27,8.185511327
Both Sexes,All Races,Kentucky,Both,All Ages,2015,2016,Suicide Firearm,994,8861585,11.22,10.76953635
Both Sexes,All Races,Louisiana,Both,All Ages,2015,2016,Suicide Firearm,908,9350626,9.71,9.431801464
Both Sexes,All Races,Maine,Both,All Ages,2015,2016,Suicide Firearm,240,2660932,9.02,8.041884438
Both Sexes,All Races,Maryland,Both,All Ages,2015,2016,Suicide Firearm,495,12011430,4.12,3.881403796
Both Sexes,All Races,Massachusetts,Both,All Ages,2015,2016,Suicide Firearm,258,13596019,1.9,1.739185008
Both Sexes,All Races,Michigan,Both,All Ages,2015,2016,Suicide Firearm,1409,19846015,7.1,6.66864724
Both Sexes,All Races,Minnesota,Both,All Ages,2015,2016,Suicide Firearm,636,11002387,5.78,5.598218202
Both Sexes,All Races,Mississippi,Both,All Ages,2015,2016,Suicide Firearm,560,5978116,9.37,9.012191702
Both Sexes,All Races,Missouri,Both,All Ages,2015,2016,Suicide Firearm,1255,12169204,10.31,9.883015833
Both Sexes,All Races,Montana,Both,All Ages,2015,2016,Suicide Firearm,336,2074593,16.2,15.84377334
