gender,raceethnicity,state,classification,lawenforcementagency,armed
Male,Black,GA,Death in custody,Chatham County Sheriff's Office,No
Male,White,OR,Gunshot,Washington County Sheriff's Office,Firearm
Male,White,HI,Struck by vehicle,Kauai Police Department,No
Male,Hispanic/Latino,KS,Gunshot,Wichita Police Department,No
Male,Asian/Pacific Islander,WA,Gunshot,Mason County Sheriff's Office,Firearm
Male,White,CA,Gunshot,San Francisco Police Department,Non-lethal firearm
Male,Hispanic/Latino,AZ,Gunshot,Chandler Police Department,Firearm
Male,Hispanic/Latino,CO,Gunshot,Evans Police Department,Other
Male,White,CA,Gunshot,Stockton Police Department,Knife
Male,Black,CA,Taser,Los Angeles County Sheriff's Department,No
Female,White,IA,Gunshot,Burlington Police Department,No
Male,White,KS,Gunshot,Saline County Sheriff's Office,Firearm
Male,Black,PA,Gunshot,"US Marshals Service, Pennsylvania State Police, Allegheny County Sheriff's Office",Non-lethal firearm
Male,White,IA,Gunshot,Des Moines Police Department,Firearm
Male,White,IL,Gunshot,Rosemont Police Department,Vehicle
Male,Black,TX,Gunshot,Freeport Police Department,Firearm
Male,Black,LA,Gunshot,New Orleans Police Department,Firearm
Male,Black,NE,Death in custody,Norfolk Police Division,No
Male,White,MT,Gunshot,Yellowstone County Sheriff's Office,No
Male,Black,AR,Gunshot,Union County Sheriff's Office,No
Male,White,UT,Gunshot,Salt Lake City Police Department,Other
Male,White,UT,Gunshot,"Syracuse Police Department, Davis County Sheriff's Office",Firearm
Male,Hispanic/Latino,TX,Gunshot,El Paso Police Department,Firearm
Male,White,AR,Gunshot,England Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,South Gate Police Department,Firearm
Male,Hispanic/Latino,NV,Gunshot,North Las Vegas Police Department,Firearm
Male,White,IL,Gunshot,"Arcola Police Department, Tuscola Police Department",Firearm
Male,White,NM,Gunshot,Albuquerque Police Department,Firearm
Male,White,TX,Gunshot,Jourdanton Police Department,Knife
Male,Black,MN,Gunshot,St Paul Police Department,Vehicle
Male,White,MO,Gunshot,"St Louis County Police Department, Jefferson County Sheriff's Office, Franklin County Sheriff's Office",Vehicle
Male,White,UT,Gunshot,West Valley City Police Department,Knife
Male,White,TX,Gunshot,Lake Jackson Police Department,Firearm
Male,White,NJ,Gunshot,Old Bridge Police Department,Knife
Male,White,NY,Struck by vehicle,New York State Police,No
Male,White,MN,Gunshot,Bloomington Police Department,Firearm
Male,Black,IN,Gunshot,Indianapolis Metropolitan Police Department,Firearm
Male,White,LA,Gunshot,Louisiana State Police,Firearm
Male,Black,VA,Gunshot,Chesapeake Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Fairfield Police Department,Knife
Male,Black,AZ,Gunshot,Scottsdale Police Department,Vehicle
Male,Black,OK,Gunshot,Department of Veteran Affairs,Firearm
Male,Black,CO,Gunshot,Aurora Police Department,Firearm
Male,Unknown,CA,Gunshot,Fremont Police Department,Knife
Male,Asian/Pacific Islander,MN,Taser,Brooklyn Center Police Department,Other
Male,White,KY,Struck by vehicle,Stanford Police Department,No
Male,Hispanic/Latino,TX,Gunshot,Houston Police Department,Firearm
Male,White,TX,Gunshot,"Texas Rangers, ATF",Firearm
Male,Black,OK,Gunshot,Muskogee Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,Fort Worth Police Department,Knife
Male,White,AZ,Gunshot,Maricopa Police Department,Firearm
Male,White,KY,Gunshot,Kentucky State Police,Firearm
Male,White,MA,Gunshot,Weymouth Police Department,Knife
Male,Black,MO,Gunshot,St Louis Metropolitan Police Department,Firearm
Male,White,CA,Gunshot,Riverside County Sheriff's Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,US Border Patrol,Firearm
Male,White,MS,Gunshot,Mississippi Gaming Commission,Knife
Male,White,NH,Gunshot,Derry Police Department,Firearm
Female,White,TX,Gunshot,Longview Police Department,Knife
Male,Black,TX,Gunshot,US Border Patrol,Non-lethal firearm
Male,Black,FL,Gunshot,Lauderhill Police Department,Vehicle
Male,Hispanic/Latino,TX,Gunshot,Levelland Police Department,Knife
Male,White,TX,Gunshot,Austin Police Department,Firearm
Male,Black,MD,Gunshot,Baltimore Police Department,Knife
